Date/Time (EST),daily MAX of 12-23m Temperature (F),daily MIN of 12-23m Temperature (F),daily AVG of 15-24m Solar radiation (hourly average) (Wm2)
1/1/16,59,48.9,48.33333333
1/2/16,54,39,108.3333333
1/3/16,50,33.1,71.25
1/4/16,46,34,133.75
1/5/16,39,27,151.25
1/6/16,46.9,26.1,108.3333333
1/7/16,51.1,39.9,99.16666667
1/8/16,50,41,30.83333333
1/9/16,55.9,48,37.08333333
1/10/16,63,45,125.4166667
1/11/16,48,28,150.4166667
1/12/16,55,28.9,150.8333333
1/13/16,48,28.9,153.75
1/14/16,61,28.9,150
1/15/16,57.9,32,25
1/16/16,64.9,44.1,135.4166667
1/17/16,46.9,32,31.25
1/18/16,44.1,28,157.5
1/19/16,37,21,162.0833333
1/20/16,41,21,97.5
1/21/16,50,30.9,158.75
1/22/16,37,30,10.69565217
1/23/16,35.1,27,46.25
1/24/16,48,28,168.3333333
1/25/16,59,25,155
1/26/16,64.9,34,124.1666667
1/27/16,54,45,39.16666667
1/28/16,46,41,35
1/29/16,60.1,37,170
1/30/16,61,28.9,168.75
1/31/16,70,36,155
2/1/16,73.9,48.9,157.9166667
2/2/16,69.1,48.9,115.4166667
2/3/16,73,57,55
2/4/16,66.9,50,15
2/5/16,50,33.1,175
2/6/16,51.1,28.9,151.25
2/7/16,43,35.1,19.58333333
2/8/16,57.9,30,167.9166667
2/9/16,45,36,135
2/10/16,39.9,28,161.25
2/11/16,46.9,21.9,195.8333333
2/12/16,34,28.9,48.33333333
2/13/16,41,25,202.9166667
2/14/16,34,21.9,148.75
2/15/16,44.1,30,63.33333333
2/16/16,61,42.1,159.1666667
2/17/16,59,41,187.9166667
2/18/16,54,35.1,202.9166667
2/19/16,55.9,32,205.8333333
2/20/16,37.9,37.9,0
2/21/16,missing,missing,missing
2/22/16,66,51.1,75.57142857
2/23/16,54,48.9,47.5
2/24/16,75.9,51.1,83.75
2/25/16,55.9,44.1,181.6666667
2/26/16,54,35.1,226.25
2/27/16,54,28.9,226.6666667
2/28/16,68,33.1,230.8333333
2/29/16,73,48.9,223.3333333
3/1/16,73.9,44.1,153.75
3/2/16,62.1,43,217.9166667
3/3/16,57.9,34,200
3/4/16,55,41,183.3333333
3/5/16,57.9,34,195.8333333
3/6/16,61,41,201.6666667
3/7/16,66.9,37,237.9166667
3/8/16,75.9,46,231.25
3/9/16,78.1,48.9,221.25
3/10/16,81,57.9,210.4166667
3/11/16,81,62.1,173.3333333
3/12/16,81,57.9,214.5833333
3/13/16,82.9,62.1,165
3/14/16,82,66,191.6666667
3/15/16,81,57,250.4166667
3/16/16,86,60.1,240.4166667
3/17/16,81,50,245
3/18/16,75,55,257.0833333
3/19/16,75,51.1,125.4166667
3/20/16,51.1,43,36.66666667
3/21/16,57.9,39,272.5
3/22/16,69.1,33.1,273.75
3/23/16,75.9,50,270
3/24/16,79,48.9,224.5833333
3/25/16,79,64.9,190.8333333
3/26/16,72,57,67.5
3/27/16,68,60.1,44.16666667
3/28/16,79,55.9,242.0833333
3/29/16,69.1,44.1,281.6666667
